,Unnamed: 0,power_plant_name,power_plant_name_pinyin,power_plant_latitude,power_plant_longitude,station_name,station_name_pinyin,station_latitude,station_longitude,distance_km,"""sitename""","""siteengname""","""areaname""","""county""","""township""","""siteaddress""","""twd97lon""","""twd97lat""","""sitetype""","""siteid""",capacity
0,0,和平電廠,Heping,24.30666667,121.7638889,冬山,Dongshan,24.632203,121.792928,36.31710233009067,冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉南興村照安路26號,121.792928,24.632203,一般站,66,1320.0
1,1,興達發電廠,Xingda,22.85722222,120.1969444,臺南,Tainan,22.99123,120.22085,15.10076947167206,臺南,Tainan,雲嘉南空品區,臺南市,東區,701台南市東區長榮路二段135號,120.22085,22.99123,一般站,46,4326.0
2,2,麥寮電廠,Mailiao,23.8,120.1833333,麥寮,Mailiao,23.753506,120.251825,8.677670501392363,麥寮,Mailiao,雲嘉南空品區,雲林縣,麥寮鄉,雲林縣麥寮鄉中興路115號,120.251825,23.753506,工業站,83,4200.0
3,3,台中發電廠,Taizhong,24.21277778,120.4811111,沙鹿,Shalu,24.225628,120.568794,9.005810802381088,沙鹿,Shalu,中部空品區,臺中市,沙鹿區,臺中市沙鹿區英才路150號,120.568794,24.225628,一般站,29,5824.0
4,4,尖山發電廠,Jianshan,23.56305556,119.6611111,馬公,Magong,23.569031,119.566158,9.700520789826845,馬公,Magong,其他,澎湖縣,馬公市,澎湖縣馬公市中正路115號,119.566158,23.569031,一般站,78,140.0
5,5,夏興發電廠,Xiaxing,24.44055556,118.3988889,金門,Jinmen,24.432133,118.312256,8.820079792832225,金門,Kinmen,其他,金門縣,金城鎮,金門縣金城鎮民權路32號,118.312256,24.432133,一般站,77,20.0
6,6,蘭嶼發電廠,Lanyu,22.02594444,121.5399722,恆春,Hengchun,21.958069,120.788928,77.80248157398213,恆春,Hengchun,高屏空品區,屏東縣,恆春鎮,屏東縣恆春鎮公園路44號,120.788928,21.958069,一般站,61,6.5
7,7,七美發電廠,Qimei,23.20805556,119.4286111,馬公,Magong,23.569031,119.566158,42.52258012974856,馬公,Magong,其他,澎湖縣,馬公市,澎湖縣馬公市中正路115號,119.566158,23.569031,一般站,78,4.0
8,8,塔山發電廠,Tashan,24.41479444,118.2880694,金門,Jinmen,24.432133,118.312256,3.116643352507656,金門,Kinmen,其他,金門縣,金城鎮,金門縣金城鎮民權路32號,118.312256,24.432133,一般站,77,91.0
9,9,珠山發電廠,Zhushan,26.15381667,119.9392444,馬祖,Mazu,26.15188416,119.9314938,0.8028850873694292,馬祖,Matsu,其他,連江縣,南竿鄉,連江縣南竿鄉介壽村156-10號,119.93149378,26.15188416,一般站,75,15.4
10,10,大林發電廠,Dalin,22.53611111,120.3355278,小港,Xiaogang,22.565833,120.337736,3.3126939917414617,小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.337736,22.565833,一般站,58,2400.0
11,11,長生發電廠,Changsheng,25.11638889,121.2583333,大園,Dayuan,25.06100357,121.2025147,8.338183914698115,大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.20251473,25.06100357,一般站,18,900.0
12,12,嘉惠電廠,Jiahui,23.53388889,120.4752778,嘉義,Jiayi,23.46477865,120.4412515,8.431724840639045,嘉義,Chiayi,雲嘉南空品區,嘉義市,西區,嘉義市西區新民路580號,120.44125148,23.46477865,一般站,42,535.0
13,13,星能電廠,Xingneng,24.12722222,120.4336111,線西,Xianxi,24.131672,120.469061,3.6312944770031694,線西,Xianxi,中部空品區,彰化縣,線西鄉,彰化縣線西鄉寓埔村中央路二段145號,120.469061,24.131672,工業站,34,490.0
14,14,星元電廠,Xingyuan,24.07972222,120.4125,線西,Xianxi,24.131672,120.469061,8.144057241102297,線西,Xianxi,中部空品區,彰化縣,線西鄉,彰化縣線西鄉寓埔村中央路二段145號,120.469061,24.131672,工業站,34,490.0
15,15,新桃電廠,Xintao,22.60083333,120.3005556,前鎮,Qianzhen,22.6044507,120.3083336,0.8940394070624702,前鎮,Qianzhen,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.30833356,22.6044507,工業站,57,600.0
16,16,國光發電廠,Guoguang,25.0425,121.3419444,林口,Linkou,25.07798949,121.3654898,4.604095796337584,林口,Linkou,北部空品區,新北市,林口區,新北市林口區文化路一段425號,121.36548982,25.07798949,一般站,9,480.0
17,17,南部發電廠,Nanbu,22.60083333,120.3005556,前鎮,Qianzhen,22.6044507,120.3083336,0.8940394070624702,前鎮,Qianzhen,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.30833356,22.6044507,工業站,57,1118.0
18,18,森霸電廠,Senba,23.08222222,120.3572222,善化,Shanhua,23.11337642,120.2974053,7.030808170593506,善化,Shanhua,雲嘉南空品區,臺南市,善化區,臺南市善化區益民寮60號,120.29740529,23.11337642,一般站,44,980.0
19,19,大潭發電廠,Datan,25.02611111,121.0472222,觀音,Guanyin,25.03556747,121.0828309,3.7385483954916015,觀音,Guanyin,北部空品區,桃園市,觀音區,桃園市觀音區文化路2號,121.08283092,25.03556747,背景站,19,4384.0
20,20,通霄發電廠,Tongxiao,24.48991667,120.6711111,三義,Sanyi,24.38248443,120.7595675,14.929631351570992,三義,Sanyi,竹苗空品區,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,120.75956754,24.38248443,一般站,27,1815.0
