Station,Chinese,Location,Coordinates,Capacity (MW)
Hoping Power Plant[2],和平電廠,"Xiulin, Hualien",24°18′24″N 121°45′50″E,1320
Hsinta Power Plant[3],興達發電廠,"Yong'an and Qieding, Kaohsiung",22°51′26″N 120°11′49″E,4326
Mailiao Power Plant[6],麥寮電廠,"Mailiao, Yunlin",23°48′00″N 120°11′00″E,4200
Taichung Power Plant[7],台中發電廠,"Longjing, Taichung",24°12′46″N 120°28′52″E,5824
Chienshan Power Plant,尖山發電廠,"Huxi, Penghu",23°33′47″N 119°39′40″E,140
Hsiahsing Power Plant,夏興發電廠,"Jinhu, Kinmen",24°26′26″N 118°23′56″E,20
Lanyu Power Plant[8][9],蘭嶼發電廠,"Orchid Island, Taitung",22°1′33.4″N 121°32′23.9″E,6.5
Qimei Power Plant,七美發電廠,"Cimei, Penghu",23°12′29″N 119°25′43″E,4
Tashan Power Plant,塔山發電廠,"Jincheng, Kinmen",24°24′53.26″N 118°17′17.05″E,91
Zhushan Power Plant,珠山發電廠,"Nangan, Lienchiang",26°9′13.74″N 119°56′21.28″E,15.4
Talin Power Plant,大林發電廠,"Siaogang, Kaohsiung",22°32′10″N 120°20′7.9″E,2400
Changsheng Power Plant,長生發電廠,"Luzhu, Taoyuan",25°6′59″N 121°15′30″E,900
Chiahui Power Plant,嘉惠電廠,"Minxiong, Chiayi",23°32′02″N 120°28′31″E,535
Hsingneng Power Plant,星能電廠,"Lukang, Changhua",24°7′38″N 120°26′01″E,490
Hsingyuan Power Plant,星元電廠,"Lukang, Changhua",24°4′47″N 120°24′45″E,490
Hsintao Power Plant,新桃電廠,"Guanxi, Hsinchu",22°36′3″N 120°18′2″E,600
Kuokuang Power Plant,國光發電廠,"Guishan, Taoyuan",25°2′33″N 121°20′31″E,480
Nanpu Power Plant,南部發電廠,"Cianjhen, Kaohsiung",22°36′3″N 120°18′2″E,1118
Sun Ba Power Plant,森霸電廠,"Shanshang, Tainan",23°04′56″N 120°21′26″E,980
Tatan Power Plant,大潭發電廠,"Guanyin, Taoyuan",25°1′34″N 121°2′50″E,4384
Tunghsiao Power Plant,通霄發電廠,"Tongxiao, Miaoli",24°29′23.7″N 120°40′16″E,1815
